timestamp,session,true_angle,distance_m,rep,reported_angle,error,n_samples,samples
2026-09-09T15:51:04.416,20260909_1550,90.0,0.8,1,88.0,-2.0,7,88 88 88 88 87 87 87
2026-09-09T15:51:29.808,20260909_1550,135.0,0.8,1,119.0,-16.0,7,119 119 119 118 119 120 118
2026-09-09T15:51:56.848,20260909_1550,180.0,0.8,1,180.0,0.0,7,180 180 180 180 180 180 180
2026-09-09T15:52:22.896,20260909_1550,45.0,0.8,1,53.0,8.0,7,53 53 52 53 55 57 56
2026-09-09T15:52:46.448,20260909_1550,0.0,0.8,1,0.0,0.0,7,0 -2 0 0 0 0 0
