trial_id,session,timestamp,angle_true,distance_m,noise_condition,rep,playback_start_ts,settle_ts,settle_time_s,settle_from_voice_s,playback_mode,head_heading_at_start,started_at_home,doa_logged_angle,head_heading_at_doa,doa_implied_bearing,servo_target_angle,servo_first_target_angle,n_track_moves,physical_angle_measured,moved,miss,simulated,n_doa_samples,n_servo_commands,cfg_onset_skip_s,cfg_sample_interval_s,cfg_min_samples,cfg_post_move_quiet_s,cfg_offaxis_gain,cfg_sample_window_s,notes
1,production_nocal2,2026-09-14T17:03:48.293,60.0,1.25,none,1,2026-09-14T17:03:41.775,2026-09-14T17:03:48.293,5.47,3.442,manual,90.0,1,70.0,90.0,70.0,43.0,70.0,4,,1,0,0,24,14,0.0,0.0375,2,0.6,production:1.0,0.6,
2,production_nocal2,2026-09-14T17:05:45.484,60.0,1.25,none,1,2026-09-14T17:05:41.172,2026-09-14T17:05:45.484,3.282,1.483,manual,90.0,1,71.0,90.0,71.0,61.0,71.0,2,,1,0,0,12,8,0.0,0.0375,2,0.6,production:1.0,0.6,
3,production_nocal2,2026-09-14T17:06:05.056,60.0,1.25,none,2,2026-09-14T17:05:58.786,2026-09-14T17:06:05.056,5.243,3.346,manual,90.0,1,65.0,90.0,65.0,58.0,65.0,4,,1,0,0,20,10,0.0,0.0375,2,0.6,production:1.0,0.6,
4,production_nocal2,2026-09-14T17:06:16.515,60.0,1.25,none,3,2026-09-14T17:06:12.002,2026-09-14T17:06:16.515,3.484,1.474,manual,90.0,1,88.0,90.0,88.0,63.0,88.0,2,,1,0,0,12,8,0.0,0.0375,2,0.6,production:1.0,0.6,
5,production_nocal2,2026-09-14T17:06:32.783,60.0,1.25,none,4,2026-09-14T17:06:27.970,2026-09-14T17:06:32.783,3.791,1.493,manual,90.0,1,64.0,90.0,64.0,60.0,64.0,2,,1,0,0,12,8,0.0,0.0375,2,0.6,production:1.0,0.6,
6,production_nocal2,2026-09-14T17:06:48.714,60.0,1.25,none,5,2026-09-14T17:06:44.252,2026-09-14T17:06:48.714,3.449,1.481,manual,90.0,1,67.0,90.0,67.0,62.0,67.0,2,,1,0,0,12,8,0.0,0.0375,2,0.6,production:1.0,0.6,
