trial_id,session,timestamp,angle_true,distance_m,noise_condition,rep,playback_start_ts,settle_ts,settle_time_s,settle_from_voice_s,playback_mode,head_heading_at_start,started_at_home,doa_logged_angle,head_heading_at_doa,doa_implied_bearing,servo_target_angle,servo_first_target_angle,n_track_moves,physical_angle_measured,moved,miss,simulated,n_doa_samples,n_servo_commands,cfg_onset_skip_s,cfg_sample_interval_s,cfg_min_samples,cfg_post_move_quiet_s,cfg_offaxis_gain,cfg_sample_window_s,notes
1,production_cal2,2026-09-14T17:02:38.584,60.0,1.25,none,1,2026-09-14T17:02:33.168,2026-09-14T17:02:38.583,4.375,1.517,manual,90.0,1,69.83,90.0,69.83,54.83,69.83,2,,1,0,0,12,9,0.0,0.0375,2,0.6,production:1.0+table:study/doa_angle_response_table125.csv(8 points),0.6,
2,production_cal2,2026-09-14T17:04:25.452,60.0,1.25,none,1,2026-09-14T17:04:20.788,2026-09-14T17:04:25.451,3.625,1.394,manual,90.0,1,59.48,90.0,59.48,59.48,59.48,2,,1,0,0,12,7,0.0,0.0375,2,0.6,production:1.0+table:study/doa_angle_response_table125.csv(8 points),0.6,
3,production_cal2,2026-09-14T17:04:42.201,60.0,1.25,none,2,2026-09-14T17:04:37.888,2026-09-14T17:04:42.201,3.308,1.41,manual,90.0,1,58.45,90.0,58.45,58.45,58.45,2,,1,0,0,10,7,0.0,0.0375,2,0.6,production:1.0+table:study/doa_angle_response_table125.csv(8 points),0.6,
4,production_cal2,2026-09-14T17:04:53.926,60.0,1.25,none,3,2026-09-14T17:04:52.020,2026-09-14T17:04:53.926,0.858,0.547,manual,90.0,1,60.52,90.0,60.52,60.52,60.52,1,,1,0,0,7,5,0.0,0.0375,2,0.6,production:1.0+table:study/doa_angle_response_table125.csv(8 points),0.6,
5,production_cal2,2026-09-14T17:05:17.217,60.0,1.25,none,4,2026-09-14T17:05:02.478,2026-09-14T17:05:17.217,13.691,4.254,manual,90.0,1,90.0,90.0,90.0,55.46,90.0,5,,1,0,0,27,13,0.0,0.0375,2,0.6,production:1.0+table:study/doa_angle_response_table125.csv(8 points),0.6,
6,production_cal2,2026-09-14T17:05:29.594,60.0,1.25,none,5,2026-09-14T17:05:24.430,2026-09-14T17:05:29.594,4.143,1.394,manual,90.0,1,59.48,90.0,59.48,59.48,59.48,2,,1,0,0,10,7,0.0,0.0375,2,0.6,production:1.0+table:study/doa_angle_response_table125.csv(8 points),0.6,
